# gate-census v1 — generated by scripts/gate-census.sh; do not edit by hand
# source: d9e7a8d host: Darwin arm64 jobs: 4 generated: 2026-09-25T15:17:49Z suite: da6e3621dede135ed87c38e641caea5435ebf4e289ea3f97c74cf2ae8922718b
# shard-partition: N=13 sha256=94732240378607092fc40b13da6e25c4f18efa2c1f5419bc9ea3c100bc53ec28
id	group	status	wall_seconds	passed	failed	needs	crash_symbol
0a	static	ok	8	50	0	-	-
0b	static	ok	28	49	0	-	-
0c	static	ok	8	7	0	-	-
0d	static	ok	8	7	0	-	-
1	base	ok	19	9	0	-	-
1b	base	ok	8	18	0	-	-
2	base	ok	23	12	0	-	-
2b	base	ok	43	24	0	2	-
3	base	ok	22	7	0	-	-
4	base	ok	20	7	0	-	-
5	base	ok	19	6	0	-	-
6	base	ok	141	30	0	-	-
7	base	ok	19	6	0	-	-
8	base	ok	44	13	0	-	-
8b	base	ok	33	7	0	-	-
8e	base	ok	82	19	0	-	-
8b-2	base	ok	126	29	0	8e	-
8b-3	base	ok	279	76	0	8e	-
8c	base	ok	116	20	0	8e	-
8d	base	ok	19	4	0	-	-
9	base	ok	98	18	0	8	-
10	base	ok	107	22	0	9	-
10c	base	ok	110	34	0	9	-
11	base	ok	96	23	0	9	-
12	base	ok	30	6	0	-	-
13	base	ok	37	13	0	12	-
14	base	ok	32	10	0	12	-
14b	base	ok	18	5	0	-	-
14c	base	ok	38	10	0	-	-
14c-1	base	ok	106	36	0	-	-
14d	base	ok	56	46	0	-	-
14e	base	ok	31	10	0	-	-
14f	base	ok	15	4	0	-	-
14g	base	ok	94	32	0	-	-
14h	base	ok	113	94	0	-	-
14i	base	ok	16	11	0	-	-
14j	base	ok	130	67	0	14c	-
14k	base	ok	41	10	0	-	-
14l	base	ok	116	35	0	14c	-
14m	base	ok	143	46	0	14c	-
14n	base	ok	105	47	0	-	-
14o	base	ok	46	15	0	-	-
14p	base	ok	78	29	0	-	-
14q	base	ok	49	12	0	-	-
14r	base	ok	151	32	0	-	-
14s	base	ok	49	13	0	-	-
15	base	ok	32	21	0	-	-
15b	base	ok	42	12	0	-	-
15c	base	ok	218	63	0	-	-
16	base	ok	82	19	0	14e	-
16b	base	ok	87	25	0	16	-
17	base	ok	24	12	0	-	-
18	darwin	ok	14	6	0	-	-
19	base	ok	14	5	0	-	-
20	base	ok	27	7	0	-	-
21	base	ok	37	10	0	-	-
22	base	ok	11	4	0	-	-
23	base	ok	13	6	0	-	-
24	base	ok	21	12	0	-	-
25	base	ok	43	11	0	-	-
26	base	ok	58	15	0	25	-
27	base	ok	23	6	0	-	-
28	base	ok	11	4	0	-	-
29b	base	ok	328	52	0	-	-
30	base	ok	39	17	0	-	-
30b	base	ok	31	30	0	-	-
30b-1	base	ok	86	69	0	-	-
30c	base	ok	19	26	0	-	-
32	base	ok	26	7	0	-	-
33	base	ok	429	138	0	-	-
31a	cone	ok	60	6	0	-	-
31b	cone	ok	94	10	0	-	-
31c	cone	ok	103	13	0	-	-
31d	cone	ok	95	6	0	-	-
31e	cone	ok	89	8	0	-	-
31f	cone	ok	116	14	0	31e	-
31g	cone	ok	144	16	0	31f	-
31h	cone	ok	150	18	0	31c	-
31i	cone	ok	71	10	0	-	-
31j	cone	ok	80	8	0	-	-
31k	cone	ok	49	6	0	-	-
31l	cone	ok	82	14	0	31i	-
31m	cone	ok	91	11	0	31j	-
31n	cone	ok	141	44	0	31l,31m	-
31o	cone	ok	69	6	0	-	-
31p	cone	ok	49	22	0	-	-
31q	cone	ok	133	24	0	9	-
31r	cone	ok	55	7	0	-	-
31s	cone	ok	55	7	0	-	-
31t	cone	ok	49	5	0	-	-
31u	cone	ok	93	12	0	-	-
31v	cone	ok	45	5	0	-	-
31w	cone	ok	67	10	0	-	-
31x	cone	ok	45	8	0	-	-
31y	cone	ok	53	6	0	-	-
31z	cone	ok	83	12	0	-	-
31ab	cone	ok	59	7	0	-	-
31ac	cone	ok	68	10	0	-	-
31ac-2	cone	ok	196	40	0	-	-
31ad	cone	ok	97	13	0	31e	-
31ae	cone	ok	84	8	0	-	-
31af	cone	ok	81	7	0	-	-
31ag	cone	ok	120	14	0	-	-
31ah	cone	ok	64	8	0	-	-
31ai	cone	ok	103	33	0	-	-
31aj	cone	ok	101	19	0	-	-
31ak	cone	ok	111	23	0	31c	-
31al	cone	ok	208	45	0	31y	-
31am	cone	ok	86	18	0	-	-
31an	cone	ok	77	14	0	-	-
31ao	cone	ok	61	9	0	-	-
31ar	cone	ok	63	14	0	-	-
31as	cone	ok	53	11	0	-	-
31ap	cone	ok	144	23	0	31z	-
31at	cone	ok	288	59	0	31ap	-
